field,Seatbelt,Gender,Vehicle,Location
154,yes,male,pickup,rural
155,no,male,pickup,rural
156,no,male,pickup,rural
157,no,female,car,rural
158,no,male,pickup,rural
159,yes,male,pickup,rural
160,yes,male,car,rural
161,no,male,SUV,rural
162,no,male,pickup,rural
163,yes,female,pickup,rural
164,yes,female,car,rural
165,yes,male,car,rural
166,yes,female,car,rural
167,yes,female,car,rural
168,yes,female,SUV,rural
169,yes,male,car,rural
170,no,female,car,rural
171,no,male,pickup,rural
172,no,female,SUV,rural
173,no,male,pickup,rural
174,yes,female,SUV,rural
175,yes,female,SUV,rural
176,yes,male,pickup,rural
177,yes,female,SUV,rural
178,yes,male,pickup,rural
179,yes,male,SUV,rural
180,yes,female,car,rural
181,yes,female,car,rural
182,no,male,car,rural
183,no,male,van,rural
184,yes,female,pickup,rural
185,yes,female,SUV,rural
186,yes,male,pickup,rural
187,no,male,pickup,rural
188,no,male,pickup,rural
189,yes,female,SUV,rural
190,yes,male,car,rural
191,no,female,car,rural
192,no,male,pickup,rural
193,yes,female,SUV,rural
194,yes,female,car,rural
195,no,female,car,rural
196,yes,female,car,rural
197,yes,female,car,rural
198,no,female,SUV,rural
199,yes,female,car,rural
200,yes,male,car,rural
201,yes,male,car,urban
202,yes,male,SUV,urban
203,yes,female,car,urban
204,yes,female,SUV,urban
205,yes,male,car,urban
206,yes,female,van,urban
207,yes,male,SUV,urban
208,yes,female,SUV,urban
209,yes,male,SUV,urban
210,yes,female,car,urban
211,no,female,car,urban
212,yes,male,pickup,urban
213,yes,male,car,urban
214,yes,female,van,urban
215,yes,female,van,urban
216,yes,male,car,urban
217,yes,female,van,urban
218,yes,male,van,urban
219,yes,male,SUV,urban
220,yes,male,car,urban
221,no,male,pickup,urban
222,no,male,car,urban
223,yes,male,car,urban
224,yes,male,car,urban
225,yes,male,car,urban
226,no,female,car,urban
227,yes,male,car,urban
228,yes,female,SUV,urban
229,yes,male,car,urban
230,no,male,car,urban
231,yes,male,pickup,urban
232,no,male,pickup,urban
233,yes,male,car,urban
234,yes,male,pickup,urban
235,yes,female,car,urban
236,yes,female,van,urban
237,yes,male,SUV,urban
238,yes,female,car,urban
239,no,male,car,urban
240,no,male,pickup,urban
241,yes,male,SUV,urban
242,yes,female,SUV,urban
243,yes,male,pickup,urban
244,yes,female,SUV,urban
245,no,male,SUV,urban
246,no,male,car,urban
247,yes,female,SUV,urban
248,no,male,pickup,urban
249,yes,female,SUV,urban
250,yes,male,SUV,urban
251,yes,male,pickup,urban
252,no,male,SUV,urban
253,yes,male,pickup,urban
254,yes,female,SUV,urban
255,yes,male,SUV,urban
256,yes,male,car,urban
257,no,male,van,urban
258,yes,male,van,urban
259,yes,male,SUV,urban
260,yes,male,SUV,urban
261,no,male,van,urban
262,yes,male,pickup,urban
263,yes,male,van,urban
264,yes,female,SUV,urban
265,yes,male,van,urban
266,yes,female,car,urban
267,yes,male,car,urban
268,no,female,car,urban
269,yes,female,car,urban
270,yes,male,SUV,urban
271,yes,male,SUV,urban
272,no,male,SUV,urban
273,no,male,car,urban
274,yes,female,SUV,urban
275,yes,male,car,urban
276,yes,male,SUV,urban
277,yes,male,SUV,urban
278,no,female,car,urban
279,yes,female,SUV,urban
280,no,male,van,urban
281,yes,male,SUV,urban
282,yes,male,van,urban
283,yes,female,SUV,urban
284,yes,male,pickup,urban
285,yes,male,van,urban
286,no,male,pickup,urban
287,no,male,pickup,urban
288,yes,male,pickup,urban
289,yes,female,car,urban
290,no,male,car,urban
291,yes,male,SUV,urban
292,yes,male,car,urban
293,yes,female,SUV,urban
294,no,male,van,urban
295,yes,female,van,urban
296,yes,male,SUV,urban
297,yes,male,car,urban
298,yes,male,car,urban
299,no,female,van,urban
300,yes,female,SUV,urban
301,yes,male,SUV,urban
302,yes,male,car,urban
303,yes,male,SUV,urban
304,no,male,SUV,urban
305,yes,female,SUV,urban
306,no,male,car,urban
307,yes,male,van,urban
308,yes,female,SUV,urban
309,yes,male,pickup,urban
310,yes,male,van,urban
311,yes,male,van,urban
312,yes,male,car,urban
313,no,male,SUV,urban
314,yes,female,car,urban
315,yes,female,car,urban
316,yes,female,car,urban
317,no,female,car,urban
318,no,male,SUV,urban
319,yes,female,van,urban
320,no,female,car,urban
321,yes,female,SUV,urban
322,no,male,pickup,urban
323,no,male,van,urban
324,no,female,pickup,urban
325,yes,female,car,urban
326,yes,male,car,urban
327,yes,female,car,urban
328,yes,male,pickup,urban
329,yes,male,pickup,urban
330,no,female,van,urban
331,yes,male,SUV,urban
332,no,male,SUV,urban
333,yes,female,car,urban
334,yes,male,SUV,urban
335,no,male,SUV,urban
336,yes,male,pickup,urban
337,yes,male,SUV,urban
338,yes,female,SUV,urban
339,no,female,car,urban
340,yes,male,car,urban
341,yes,male,car,urban
342,yes,male,car,urban
343,yes,female,car,urban
344,no,male,van,urban
345,no,male,car,urban
346,yes,female,car,urban
347,yes,male,SUV,urban
348,yes,male,car,urban
349,yes,female,car,urban
350,yes,male,SUV,urban
351,no,female,SUV,urban
352,yes,female,pickup,urban
353,no,male,car,urban
354,yes,male,pickup,urban
355,yes,female,car,urban
356,yes,female,car,urban
357,yes,male,SUV,urban
358,yes,male,pickup,urban
359,no,male,pickup,urban
360,yes,female,car,urban
361,yes,male,car,urban
362,yes,female,car,urban
363,yes,male,car,urban
364,yes,male,pickup,urban
365,yes,male,car,urban
366,yes,male,van,urban
367,yes,female,car,urban
368,yes,male,SUV,urban
369,no,female,car,urban
370,yes,male,car,urban
371,no,male,car,urban
372,no,female,pickup,urban
373,no,male,van,urban
374,yes,male,pickup,urban
375,yes,male,SUV,urban
376,yes,male,car,urban
377,yes,female,car,urban
378,yes,female,car,urban
379,no,female,SUV,urban
380,yes,male,SUV,urban
381,yes,female,car,urban
382,yes,female,SUV,urban
383,no,male,car,urban
384,yes,female,car,urban
385,yes,male,SUV,urban
386,yes,male,van,urban
387,yes,male,car,urban
388,yes,male,car,urban
389,yes,male,car,urban
390,yes,male,car,urban
391,yes,female,SUV,urban
392,yes,female,car,urban
393,yes,male,pickup,urban
394,yes,male,SUV,urban
395,no,male,SUV,urban
396,yes,female,van,urban
397,yes,male,car,urban
398,yes,male,car,urban
399,yes,male,car,urban
400,yes,male,pickup,urban
